"Break","Dominant Swell","Dominant Height (m)","Dominant Period (s)","Dominant Direction","Meets Min Period","Avg Period All Swells"
"Pipes","Primary",0.54,4.85,262,"No",4.6
"Pipes","Primary",0.52,5,262,"No",4.95
"Pipes","Primary",0.56,4.8,262,"No",5.38
"Pipes","Primary",0.62,4.4,262,"No",5.78
"Pipes","Primary",0.66,4.1,262,"No",6.07
"Pipes","Primary",0.66,4.05,263,"No",6.13
"Pipes","Primary",0.68,4.15,263,"No",6.1
"Pipes","Primary",0.68,4.2,264,"No",6.1
"Pipes","Primary",0.68,4.2,265,"No",6.25
"Pipes","Primary",0.66,4.2,265,"No",6.45
"Pipes","Primary",0.66,4.2,266,"No",6.6
"Pipes","Primary",0.64,4.05,267,"No",6.6
"Pipes","Primary",0.62,3.95,268,"No",6.55
"Pipes","Primary",0.6,4.2,269,"No",6.55
"Pipes","Primary",0.56,4.95,269,"No",6.82
"Pipes","Primary",0.52,6.1,269,"No",7.22
"Pipes","Primary",0.48,7.7,269,"No",7.63
"Pipes","Primary",0.44,10.25,248,"No",8.07
"Scripps Pier","Primary",0.8,5.45,286,"No",4.78
"Scripps Pier","Primary",0.74,5.45,291,"No",4.25
"Scripps Pier","Primary",0.7,5.2,277,"No",4.27
"Scripps Pier","Primary",0.66,4.8,263,"No",4.53
"Scripps Pier","Primary",0.62,4.5,249,"No",4.77
"Scripps Pier","Primary",0.64,4.4,254,"No",4.83
"Scripps Pier","Primary",0.68,4.4,259,"No",4.88
"Scripps Pier","Primary",0.7,4.45,264,"No",5.07
"Scripps Pier","Primary",0.68,4.55,264,"No",5.53
"Scripps Pier","Primary",0.68,4.65,264,"No",6.1
"Scripps Pier","Primary",0.66,4.7,264,"No",6.53
"Scripps Pier","Primary",0.68,4.55,265,"No",6.7
"Scripps Pier","Primary",0.7,4.35,265,"No",6.73
"Scripps Pier","Primary",0.72,4.35,266,"No",6.78
"Scripps Pier","Primary",0.7,4.6,268,"No",6.92
"Scripps Pier","Primary",0.66,5.05,269,"No",7.08
"Scripps Pier","Primary",0.64,5.55,271,"No",7.2
"Scripps Pier","Primary",0.6,6.05,271,"No",7.2
"Scripps Pier","Primary",0.58,6.65,272,"No",7.18
"Scripps Pier","Primary",0.54,7.3,272,"No",7.23
"Scripps Pier","Primary",0.52,8.05,273,"No",7.47
"Scripps Pier","Primary",0.5,8.9,274,"No",7.77
"Scripps Pier","Primary",0.48,10,275,"Yes",8.08
"Scripps Pier","Primary",0.44,11.8,252,"Yes",8.43
"Seaside Reef","Primary",0.74,4.8,268,"No",5.15
"Seaside Reef","Primary",0.68,4.55,265,"No",4.67
"Seaside Reef","Primary",0.64,4.4,264,"No",4.38
"Seaside Reef","Primary",0.62,4.3,263,"No",4.18
"Seaside Reef","Primary",0.58,4.3,262,"No",4.13
"Seaside Reef","Primary",0.56,4.5,262,"No",4.28
"Seaside Reef","Primary",0.54,4.85,262,"No",4.6
"Seaside Reef","Primary",0.52,5,262,"No",4.95
"Seaside Reef","Primary",0.56,4.8,262,"No",5.38
"Seaside Reef","Primary",0.62,4.4,262,"No",5.78
"Seaside Reef","Primary",0.66,4.1,262,"No",6.07
"Seaside Reef","Primary",0.66,4.05,263,"No",6.13
"Seaside Reef","Primary",0.68,4.15,263,"No",6.1
"Seaside Reef","Primary",0.68,4.2,264,"No",6.1
"Seaside Reef","Primary",0.68,4.2,265,"No",6.25
"Seaside Reef","Primary",0.66,4.2,265,"No",6.45
"Seaside Reef","Primary",0.66,4.2,266,"No",6.6
"Seaside Reef","Primary",0.64,4.05,267,"No",6.6
"Seaside Reef","Primary",0.62,3.95,268,"No",6.55
"Seaside Reef","Primary",0.6,4.2,269,"No",6.55
"Seaside Reef","Primary",0.56,4.95,269,"No",6.82
"Seaside Reef","Primary",0.52,6.1,269,"No",7.22
"Seaside Reef","Primary",0.48,7.7,269,"No",7.63
"Seaside Reef","Primary",0.44,10.25,248,"No",8.07
"Swamis","Primary",0.74,4.8,268,"No",5.15
"Swamis","Primary",0.68,4.55,265,"No",4.67
"Swamis","Primary",0.64,4.4,264,"No",4.38
"Swamis","Primary",0.62,4.3,263,"No",4.18
"Swamis","Primary",0.58,4.3,262,"No",4.13
"Swamis","Primary",0.56,4.5,262,"No",4.28
"Swamis","Primary",0.54,4.85,262,"No",4.6
"Swamis","Primary",0.52,5,262,"No",4.95
"Swamis","Primary",0.56,4.8,262,"No",5.38
"Swamis","Primary",0.62,4.4,262,"No",5.78
"Swamis","Primary",0.66,4.1,262,"No",6.07
"Swamis","Primary",0.66,4.05,263,"No",6.13
"Swamis","Primary",0.68,4.15,263,"No",6.1
"Swamis","Primary",0.68,4.2,264,"No",6.1
"Swamis","Primary",0.68,4.2,265,"No",6.25
"Swamis","Primary",0.66,4.2,265,"No",6.45
"Swamis","Primary",0.66,4.2,266,"No",6.6
"Swamis","Primary",0.64,4.05,267,"No",6.6
"Swamis","Primary",0.62,3.95,268,"No",6.55
"Swamis","Primary",0.6,4.2,269,"No",6.55
"Swamis","Primary",0.56,4.95,269,"No",6.82
"Swamis","Primary",0.52,6.1,269,"No",7.22
"Swamis","Primary",0.48,7.7,269,"No",7.63
"Swamis","Primary",0.44,10.25,248,"No",8.07
